,zeolite,pressure,temperature,loading (n),loading std (n),loading (v),loading std (v),density (g/mL)
10732,UEI-0,1.0,218.18181818,84.23663400000002,0.04710462533551536,4.240233121069048,0.0023711131727221658,1.7420731937703404
10733,UEI-0,1.0,240.0,61.31670750000001,0.2428310752611759,3.08650905989908,0.01222342725787533,1.7420731937703404
10734,UEI-0,1.0,266.66666667,29.195099,0.12051786557187083,1.4695984380464422,0.00606652736478535,1.7420731937703404
10735,UEI-0,1.0,300.0,10.7026075,0.03539847257297938,0.5387388912441824,0.0017818586606772548,1.7420731937703404
10736,UEI-0,1.0,342.85714286,3.871267000000001,0.013225725235313379,0.1948685954605167,0.0006657454783026558,1.7420731937703404
10737,UEI-0,1.0,400.0,1.378419,0.0021071782079358998,0.06938570098267313,0.00010606937154308608,1.7420731937703404
10738,UEI-0,2.7182494999999998,200.0,94.6606845,0.018098398064471596,4.764950243381845,0.0009110220015597653,1.7420731937703404
10739,UEI-0,2.7182494999999998,218.18181818,91.66879899999999,0.006598720482038283,4.614347217250172,0.0003321608641750958,1.7420731937703404
10740,UEI-0,2.7182494999999998,240.0,82.39208550000002,0.053213320818207656,4.147383783771,0.002678607568951383,1.7420731937703404
10741,UEI-0,2.7182494999999998,266.66666667,57.91771350000001,0.13700406017524033,2.915413347110805,0.006896395618989424,1.7420731937703404
10742,UEI-0,2.7182494999999998,300.0,27.025952500000002,0.06508422946075111,1.3604097585254749,0.00327615542447651,1.7420731937703404
10743,UEI-0,2.7182494999999998,342.85714286,10.1664935,0.025897785860957867,0.5117524337906614,0.001303621051263602,1.7420731937703404
10744,UEI-0,2.7182494999999998,400.0,3.6623305,0.0020697015485334268,0.18435132494018414,0.0001041829028545717,1.7420731937703404
10745,UEI-0,7.3888803,200.0,95.5016605,0.0056646324240877816,4.807282588822241,0.0002851415219562503,1.7420731937703404
10746,UEI-0,7.3888803,218.18181818,94.413795,0.026177093039519747,4.752522526539026,0.0013176805820552936,1.7420731937703404
10747,UEI-0,7.3888803,240.0,90.885372,0.03533129742877548,4.574911725165578,0.001778477254538582,1.7420731937703404
10748,UEI-0,7.3888803,266.66666667,80.297382,0.04925281573675765,4.041942353626494,0.0024792469816973532,1.7420731937703404
10749,UEI-0,7.3888803,300.0,54.6549895,0.0034372460633490666,2.7511770794353083,0.00017302121311052067,1.7420731937703404
10750,UEI-0,7.3888803,342.85714286,25.300911,0.07210933533183979,1.2735760644878118,0.003629779319201536,1.7420731937703404
10751,UEI-0,7.3888803,400.0,9.572181500000001,0.059387777231514276,0.4818364541629761,0.0029894121838217754,1.7420731937703404
10752,UEI-0,20.0848201,200.0,95.79813850000001,0.0025646762953647397,4.822206450040014,0.00012909852704302624,1.7420731937703404
10753,UEI-0,20.0848201,218.18181818,95.379002,0.0007240773439357489,4.801108307994724,3.644799881266164e-05,1.7420731937703404
10754,UEI-0,20.0848201,240.0,94.020423,0.009848583248366191,4.732721296312981,0.0004957497338431624,1.7420731937703404
10755,UEI-0,20.0848201,266.66666667,89.88597299999998,0.001108743432894707,4.524604815454972,5.581099818130916e-05,1.7420731937703404
10756,UEI-0,20.0848201,300.0,77.3505365,0.07568658853785824,3.893606513286847,0.003809848094582689,1.7420731937703404
10757,UEI-0,20.0848201,342.85714286,50.77373950000001,0.4876653840334576,2.5558059680831002,0.024547691606213982,1.7420731937703404
10758,UEI-0,20.0848201,400.0,23.349578,0.0148591418998548,1.1753514984773152,0.0007479670381230878,1.7420731937703404
10759,UEI-0,54.5955522,200.0,95.9052405,0.001506844550707508,4.827597660801506,7.585027877791098e-05,1.7420731937703404
10760,UEI-0,54.5955522,218.18181818,95.7289295,0.0036041232637123205,4.818722665371267,0.00018142133783721854,1.7420731937703404
10761,UEI-0,54.5955522,240.0,95.188893,0.00703712668636237,4.791538760398447,0.00035422898845493243,1.7420731937703404
10762,UEI-0,54.5955522,266.66666667,93.54386,0.03915391668786542,4.7087324672142765,0.00197089706076697,1.7420731937703404
10763,UEI-0,54.5955522,300.0,88.530698,0.0392232131524226,4.456384117757617,0.0019743852481528307,1.7420731937703404
